text_id,title,author,avg,std
86,The Art of War,Sunzi,-2.415340935,0.30635811
87,The Republic of Plato,Plato,-2.500834017,0.347888532
88,Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,-1.136297773,0.564643872
89,Through the Looking-Glass,Lewis Carroll,-0.467702471,0.515104754
90,The Devil's Dictionary,Ambrose Bierce,-2.705325144,0.337175121
91,The Poetics of Aristotle,Aristotle,-2.625427385,0.195662237
92,"Mosses from an Old Manse, and Other Stories",Nathaniel Hawthorne,-1.980257958,0.46850317
93,Northanger Abbey,Jane Austen,-1.676849588,0.504640348
94,The Tragical History of Doctor Faustus,Christopher Marlowe,-2.794786168,0.186929149
95,A Journal of the Plague Year,Daniel Defoe,-2.025764217,0.442724949
96,The Sign of the Four,Arthur Conan Doyle,-1.286911019,0.452694151
97,A Portrait of the Artist as a Young Man,James Joyce,-1.75943374,0.535066342
98,The Marching Morons,C. M. Kornbluth,-1.257411822,0.489344601
99,Madame Bovary,Gustave Flaubert,-1.613812842,0.46971496
