title,author,avg,std
Thus Spake Zarathustra: A Book for All and None,Friedrich Wilhelm Nietzsche,-2.3131817965577746,0.2913644459586144
Old Granny Fox,Thornton W. Burgess,-0.20617231429893185,0.3292316684349931
Siddhartha,Hermann Hesse,-1.412064259399229,0.4594419461193051
The Art of War,active 6th century B.C. Sunzi,-2.415340935291887,0.3063581097406844
Persuasion,Jane Austen,-1.808475644531704,0.4324809580020762
Sense and Sensibility,Jane Austen,-1.7245397028468905,0.45677956791128177
The Devil's Dictionary,Ambrose Bierce,-2.7053251435696066,0.337175120613657
An Index of The Divine Comedy by Dante,Dante Alighieri,-1.8443880081176758,0.007125377655029297
Oliver Twist,Charles Dickens,-1.3592893260795234,0.554692374615176
The Problems of Philosophy,Bertrand Russell,-2.4524847079014434,0.3324068624934048
Notes from the Underground,Fyodor Dostoyevsky,-1.5365730265407582,0.651924278765612
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mary White Rowlandson,-1.5972261694398258,0.45004839859206897
The Confessions of St. Augustine,Bishop of Hippo Saint Augustine,-2.547973713949713,0.21582086564895042
Ethan Frome,Edith Wharton,-1.1196810062053604,0.5293230949945611
Complete Original Short Stories of Guy De Maupassant,Guy de Maupassant,-1.2288842616055635,0.527349223180691
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",Olaudah Equiano,-1.7673147700354457,0.5433506718634512
The Elements of Style,William Strunk,-2.531743003610979,0.21793294195882462
"Songs of Innocence, and Songs of Experience",William Blake,-1.9623138189315796,0.44871473737141276
Pygmalion,Bernard Shaw,-1.7345643145603369,0.3964064670880703
Candide,Voltaire,-2.0266406247296285,0.42551708255952575
The Life and Adventures of Robinson Crusoe,Daniel Defoe,-1.6672573944697013,0.4673254504810347
Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,-1.1362977731511297,0.5646438715046477
Common Sense,Thomas Paine,-2.5451930848034947,0.22846242664211527
